date	time	id	returning	reward	location	claimed	social	socialshares
2014-10-05	13:45:22	10415	new	ticket	2	yes	fb	
2014-10-05	14:45:22	10439	new	ticket	1	no	fb	
2014-10-05	14:45:22	10463	new	ticket	5	yes	fb	
2014-10-05	14:45:22	10272	new	ticket	2	yes	tw	
2014-10-05	14:45:22	10296	new	tickets	4	yes	fb	
2014-10-05	14:45:22	10320	new	tickets	4	yes	fb	
2014-10-05	15:45:22	10344	returning	tickets	5	yes	fb	
2014-10-05	15:45:22	10368	new	tickets	4	yes	fb	
2014-10-05	15:45:22	10392	new	tickets	3	yes	inst	
2014-10-05	15:45:22	10416	new	points	4	yes	fb	
2014-10-05	15:45:22	10440	new	ticket	2	yes	fb	fb
2014-10-05	15:45:22	10464	returning	ticket	4	yes	fb	fb
2014-10-05	16:45:22	10273	new	ticket	2	yes	Em	
2014-10-05	16:45:22	10297	new	tickets	2	yes	tw	
2014-10-05	16:45:22	10321	new	tickets	2	yes	fb	
2014-10-05	16:45:22	10345	returning	tickets	1	yes	fb	
2014-10-05	16:45:22	10369	new	tickets	1	yes	fb	
2014-10-05	17:45:22	10393	new	tickets	2	yes	fb	
2014-10-05	17:45:22	10417	new	point	5	yes	inst	
2014-10-05	18:45:22	10441	new	ticket	3	yes	fb	
2014-10-05	18:45:22	10465	new	ticket	2	yes	fb	
2014-10-05	18:45:22	10274	new	ticket	4	yes	inst	
2014-10-05	18:45:22	10298	new	ticket	4	no	Em	
2014-10-05	18:45:22	10322	new	tickets	4	yes	tw	
2014-10-05	18:45:22	10346	new	tickets	4	yes	fb	
2014-10-05	18:45:22	10370	new	tickets	1	yes	fb	
2014-10-05	18:45:22	10394	new	tickets	2	yes	fb	
2014-10-05	18:45:22	10418	new	tickets	1	yes	fb	
2014-10-05	18:45:22	10442	new	ticket	3	yes	inst	
2014-10-05	19:45:22	10466	new	ticket	4	yes	fb	
2014-10-05	19:45:22	10251	new	ticket	4	yes	fb	
2014-10-05	19:45:22	10275	new	ticket	3	yes	inst	
2014-10-05	19:45:22	10299	new	ticket	4	yes	inst	
2014-10-05	19:45:22	10323	new	tickets	2	yes	Em	
2014-10-05	19:45:22	10347	new	tickets	4	no	tw	
2014-10-05	19:45:22	10371	new	tickets	2	yes	fb	
2014-10-05	19:45:22	10395	new	tickets	2	yes	fb	
2014-10-05	19:45:22	10419	new	tickets	2	yes	fb	
2014-10-05	19:45:22	10443	new	points	3	no	fb	
2014-10-05	19:45:22	10467	new	ticket	5	yes	inst	
2014-10-05	19:45:22	10252	new	ticket	5	yes	fb	
2014-10-05	19:45:22	10276	new	ticket	4	yes	fb	
2014-10-05	19:45:22	10300	new	ticket	2	yes	inst	
2014-10-05	20:45:22	10324	new	tickets	2	yes	inst	
2014-10-05	20:45:22	10348	returning	tickets	3	yes	Em	
2014-10-05	20:45:22	10372	returning	tickets	4	yes	tw	
2014-10-05	20:45:22	10396	new	tickets	1	yes	fb	
2014-10-05	20:45:22	10420	new	tickets	3	yes	fb	
2014-10-05	20:45:22	10444	new	point	5	yes	fb	
2014-10-05	20:45:22	10468	new	ticket	5	yes	fb	
2014-10-05	20:45:22	10253	new	ticket	3	yes	fb	
2014-10-05	20:45:22	10277	new	ticket	2	yes	fb	
2014-10-05	20:45:22	10301	new	ticket	3	yes	fb	
2014-10-05	20:45:22	10325	new	ticket	3	yes	inst	
2014-10-05	20:45:22	10349	new	tickets	4	yes	inst	
2014-10-05	20:45:22	10373	returning	tickets	1	yes	Em	
2014-10-05	20:45:22	10397	new	tickets	3	yes	tw	
2014-10-05	20:45:22	10421	new	tickets	4	yes	fb	
2014-10-05	20:45:22	10445	new	tickets	1	yes	fb	
2014-10-05	20:45:22	10469	new	ticket	2	yes	fb	
2014-10-05	21:45:22	10254	new	points	1	yes	Em	
2014-10-05	21:45:22	10278	new	ticket	3	yes	fb	
2014-10-05	21:45:22	10302	new	ticket	3	no	fb	
2014-10-05	21:45:22	10326	new	ticket	2	yes	fb	
2014-10-05	21:45:22	10350	new	tickets	4	yes	inst	
2014-10-05	21:45:22	10374	returning	tickets	3	yes	inst	
2014-10-05	21:45:22	10398	new	tickets	3	yes	Em	
2014-10-05	21:45:22	10422	new	tickets	4	yes	tw	
